,rtn,vol,Sharpe,Calmar
Disclosures,0.014144851026263394,0.0366563901402356,0.3858768136237564,0.1461567525351324
LegalProceedings,0.0040976374603785,0.03498037164722274,0.11714104989229958,0.04935725227828298
MDA,0.021664038847614586,0.04449018501531848,0.4869397337897204,0.19410631754168528
RiskFactors,0.28956310815157504,0.2888703089309826,1.0023983053957892,0.9896387881699497
Combined,0.04049785884106827,0.0753685976282859,0.5373306670876596,0.31647532000103745
